,ID,시군구,단지명,도로명,주소
0,서울특별시 강남구 개포동 개포6차우성아파트1동~8동 80,서울특별시 강남구 개포동,개포6차우성아파트1동~8동,언주로 3,서울특별시 강남구 개포동 언주로 3
24,서울특별시 강남구 개포동 개포주공1단지 40,서울특별시 강남구 개포동,개포주공1단지,개포로 310,서울특별시 강남구 개포동 개포로 310
146,서울특별시 강남구 개포동 개포주공5단지 60,서울특별시 강남구 개포동,개포주공5단지,삼성로4길 17,서울특별시 강남구 개포동 삼성로4길 17
171,서울특별시 강남구 개포동 개포주공5단지 80,서울특별시 강남구 개포동,개포주공5단지,삼성로4길 17,서울특별시 강남구 개포동 삼성로4길 17
199,서울특별시 강남구 개포동 개포주공6단지 50,서울특별시 강남구 개포동,개포주공6단지,개포로 516,서울특별시 강남구 개포동 개포로 516
221,서울특별시 강남구 개포동 개포주공6단지 60,서울특별시 강남구 개포동,개포주공6단지,개포로 516,서울특별시 강남구 개포동 개포로 516
245,서울특별시 강남구 개포동 개포주공6단지 70,서울특별시 강남구 개포동,개포주공6단지,개포로 516,서울특별시 강남구 개포동 개포로 516
281,서울특별시 강남구 개포동 개포주공6단지 80,서울특별시 강남구 개포동,개포주공6단지,개포로 516,서울특별시 강남구 개포동 개포로 516
306,서울특별시 강남구 개포동 개포주공7단지 50,서울특별시 강남구 개포동,개포주공7단지,개포로 516,서울특별시 강남구 개포동 개포로 516
329,서울특별시 강남구 개포동 개포주공7단지 60,서울특별시 강남구 개포동,개포주공7단지,개포로 516,서울특별시 강남구 개포동 개포로 516
360,서울특별시 강남구 개포동 개포주공7단지 70,서울특별시 강남구 개포동,개포주공7단지,개포로 516,서울특별시 강남구 개포동 개포로 516
383,서울특별시 강남구 개포동 개포주공7단지 80,서울특별시 강남구 개포동,개포주공7단지,개포로 516,서울특별시 강남구 개포동 개포로 516
406,서울특별시 강남구 개포동 경남1 100,서울특별시 강남구 개포동,경남1,언주로 110,서울특별시 강남구 개포동 언주로 110
419,서울특별시 강남구 개포동 경남2차 180,서울특별시 강남구 개포동,경남2차,언주로 110,서울특별시 강남구 개포동 언주로 110
441,서울특별시 강남구 개포동 디에이치아너힐즈 80,서울특별시 강남구 개포동,디에이치아너힐즈,삼성로 11,서울특별시 강남구 개포동 삼성로 11
470,서울특별시 강남구 개포동 래미안블레스티지 60,서울특별시 강남구 개포동,래미안블레스티지,선릉로 8,서울특별시 강남구 개포동 선릉로 8
517,서울특별시 강남구 개포동 래미안블레스티지 80,서울특별시 강남구 개포동,래미안블레스티지,선릉로 8,서울특별시 강남구 개포동 선릉로 8
573,서울특별시 강남구 개포동 삼익대청아파트 40,서울특별시 강남구 개포동,삼익대청아파트,개포로109길 21,서울특별시 강남구 개포동 개포로109길 21
632,서울특별시 강남구 개포동 삼익대청아파트 50,서울특별시 강남구 개포동,삼익대청아파트,개포로109길 21,서울특별시 강남구 개포동 개포로109길 21
672,서울특별시 강남구 개포동 삼익대청아파트 60,서울특별시 강남구 개포동,삼익대청아파트,개포로109길 21,서울특별시 강남구 개포동 개포로109길 21
708,서울특별시 강남구 개포동 성원대치2단지아파트 30,서울특별시 강남구 개포동,성원대치2단지아파트,개포로109길 9,서울특별시 강남구 개포동 개포로109길 9
832,서울특별시 강남구 개포동 성원대치2단지아파트 40,서울특별시 강남구 개포동,성원대치2단지아파트,개포로109길 9,서울특별시 강남구 개포동 개포로109길 9
937,서울특별시 강남구 개포동 성원대치2단지아파트 50,서울특별시 강남구 개포동,성원대치2단지아파트,개포로109길 9,서울특별시 강남구 개포동 개포로109길 9
1025,서울특별시 강남구 개포동 우성8 80,서울특별시 강남구 개포동,우성8,개포로 411,서울특별시 강남구 개포동 개포로 411
1050,서울특별시 강남구 개포동 현대1차101동~106동 100,서울특별시 강남구 개포동,현대1차101동~106동,개포로 303,서울특별시 강남구 개포동 개포로 303
1064,서울특별시 강남구 개포동 현대1차101동~106동 180,서울특별시 강남구 개포동,현대1차101동~106동,개포로 303,서울특별시 강남구 개포동 개포로 303
1085,서울특별시 강남구 논현동 동양파라곤 160,서울특별시 강남구 논현동,동양파라곤,언주로130길 30,서울특별시 강남구 논현동 언주로130길 30
1108,서울특별시 강남구 논현동 동현아파트1~6 80,서울특별시 강남구 논현동,동현아파트1~6,언주로146길 18,서울특별시 강남구 논현동 언주로146길 18
