연번,ID,매매_18년_1분기,등락율18_1,전세가율18_1,전용면적,구별인구,거래량1,거래량18,거래허가제TF,아파트TF,주상복합TF,도시형주택TF,일반분양TF,복합분양TF,임대분양TF,사용승인년도,동당세대수,승강기합계,동수,세대수,관리원당세대수,승강기당세대수,세대당주차수,지하주차비율,세대당cctv수,관리인원수,연간소독횟수,관리위탁여부,개별난방TF,중앙난방TF,지역난방TF,복도식TF,혼합형TF,계단식TF,메이저시공사TF,조합시행TF,철근철골구조TF,홈네트워크TF,관리시설수
2,서울특별시 강남구 개포동 개포주공5단지 60,136667, - ,31.2,60,557865,3,0,0,1,0,0,1,0,0,1983,156.6666667,91,6,940,24.73684211,10.32967033,0.693617021,0,0.058510638,38,8,1,0,0,1,1,0,0,0,0,0,0,5
3,서울특별시 강남구 개포동 개포주공5단지 80,177417, - ,25.4,80,557865,0,0,0,1,0,0,1,0,0,1983,156.6666667,91,6,940,24.73684211,10.32967033,0.693617021,0,0.058510638,38,8,1,0,0,1,1,0,0,0,0,0,0,5
4,서울특별시 강남구 개포동 개포주공6단지 50,125900,9.1,30.1,50,557865,3,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
6,서울특별시 강남구 개포동 개포주공6단지 60,135200,9,31.8,60,557865,2,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
8,서울특별시 강남구 개포동 개포주공6단지 70,151500,10.5,33.2,70,557865,2,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
10,서울특별시 강남구 개포동 개포주공6단지 80,163500,8.9,32.2,80,557865,2,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
12,서울특별시 강남구 개포동 개포주공7단지 50,120300, - ,32.1,50,557865,3,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
14,서울특별시 강남구 개포동 개포주공7단지 60,134750, - ,32,60,557865,2,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
16,서울특별시 강남구 개포동 개포주공7단지 70,151625,6.3,32.2,70,557865,4,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
18,서울특별시 강남구 개포동 개포주공7단지 80,167000,9.3,29.4,80,557865,3,0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
20,서울특별시 강남구 개포동 경남1 100,165000,10.8,41.4,100,557865,0,0,0,1,0,0,1,0,0,1984,75.33333333,117,9,678,15.40909091,5.794871795,1.101769912,0,0.150442478,44,4,1,0,0,1,0,0,1,0,0,0,0,4
21,서울특별시 강남구 개포동 경남2차 180,205500,4.9,47.9,180,557865,1,0,0,1,0,0,1,0,0,1984,75.33333333,117,9,678,15.40909091,5.794871795,1.101769912,0,0.150442478,44,4,1,0,0,1,0,0,1,0,0,0,0,4
22,서울특별시 강남구 개포동 디에이치아너힐즈 80,237500, - ,34.6,80,557865,0,1,0,1,0,0,0,1,0,2019,57.39130435,150,23,1320,24.44444444,8.8,1.593181818,1,0.563636364,54,,1,0,0,1,0,1,0,1,1,0,1,9
23,서울특별시 강남구 개포동 래미안블레스티지 60,151400, - ,35,60,557865,0,3,0,1,0,0,0,1,0,2019,85.08695652,200,23,1957,30.10769231,9.785,1.611139499,1,0.416964742,65,4,1,0,0,1,0,0,1,1,1,0,1,10
24,서울특별시 강남구 개포동 래미안블레스티지 80,200125, - ,46.1,80,557865,0,0,0,1,0,0,0,1,0,2019,85.08695652,200,23,1957,30.10769231,9.785,1.611139499,1,0.416964742,65,4,1,0,0,1,0,0,1,1,1,0,1,10
25,서울특별시 강남구 개포동 삼익대청아파트 40,86260, - ,36.6,40,557865,5,0,0,1,0,0,1,0,0,1992,137,61,6,822,31.61538462,13.47540984,0.335766423,0.097826087,0.055961071,26,12,1,0,0,1,1,0,0,0,0,0,0,3
26,서울특별시 강남구 개포동 삼익대청아파트 50,96417,9.8,40.7,50,557865,6,0,0,1,0,0,1,0,0,1992,137,61,6,822,31.61538462,13.47540984,0.335766423,0.097826087,0.055961071,26,12,1,0,0,1,1,0,0,0,0,0,0,3
